any;municipi;concepte;sexe;estat;valor
2021;Àger;proporció de població de 0 a 15 anys (%);homes;;8,13
2021;Àger;proporció de població de 0 a 15 anys (%);dones;;10,49
2021;Àger;proporció de població de 0 a 15 anys (%);total;;9,20
2021;Àger;proporció de població de 16 a 64 anys (%);homes;;63,13
2021;Àger;proporció de població de 16 a 64 anys (%);dones;;59,93
2021;Àger;proporció de població de 16 a 64 anys (%);total;;61,67
2021;Àger;proporció de població de 65 anys o més (%);homes;;28,75
2021;Àger;proporció de població de 65 anys o més (%);dones;;29,59
2021;Àger;proporció de població de 65 anys o més (%);total;;29,13
2021;Àger;edat mitjana;homes;;50,88
2021;Àger;edat mitjana;dones;;51,23
2021;Àger;edat mitjana;total;;51,04
2021;Àger;edat mediana;homes;;52,8
2021;Àger;edat mediana;dones;;52,5
2021;Àger;edat mediana;total;;52,7
2021;Agramunt;proporció sobre la població (%);homes;;50,78
2021;Agramunt;proporció sobre la població (%);dones;;49,22
2021;Agramunt;proporció sobre la població (%);total;;100,00
2021;Agramunt;proporció de població de 0 a 15 anys (%);homes;;16,11
2021;Agramunt;proporció de població de 0 a 15 anys (%);dones;;16,28
2021;Agramunt;proporció de població de 0 a 15 anys (%);total;;16,19
2021;Agramunt;proporció de població de 16 a 64 anys (%);homes;;65,94
2021;Agramunt;proporció de població de 16 a 64 anys (%);dones;;61,29
2021;Agramunt;proporció de població de 16 a 64 anys (%);total;;63,65
2021;Agramunt;proporció de població de 65 anys o més (%);homes;;17,95
2021;Agramunt;proporció de població de 65 anys o més (%);dones;;22,43
2021;Agramunt;proporció de població de 65 anys o més (%);total;;20,15
2021;Agramunt;edat mitjana;homes;;42,72
2021;Agramunt;edat mitjana;dones;;44,76
2021;Agramunt;edat mitjana;total;;43,72
2021;Agramunt;edat mediana;homes;;43,6
2021;Agramunt;edat mediana;dones;;45,6
2021;Agramunt;edat mediana;total;;44,3
2021;Aguilar de Segarra;proporció sobre la població (%);homes;;53,87
2021;Aguilar de Segarra;proporció sobre la població (%);dones;;46,13
2021;Aguilar de Segarra;proporció sobre la població (%);total;;100,00
2021;Aguilar de Segarra;proporció de població de 0 a 15 anys (%);homes;;19,61
2021;Aguilar de Segarra;proporció de població de 0 a 15 anys (%);dones;;22,90
2021;Aguilar de Segarra;proporció de població de 0 a 15 anys (%);total;;21,13
2021;Aguilar de Segarra;proporció de població de 16 a 64 anys (%);homes;;60,13
2021;Aguilar de Segarra;proporció de població de 16 a 64 anys (%);dones;;58,78
2021;Aguilar de Segarra;proporció de població de 16 a 64 anys (%);total;;59,51
2021;Aguilar de Segarra;proporció de població de 65 anys o més (%);homes;;20,26
2021;Aguilar de Segarra;proporció de població de 65 anys o més (%);dones;;18,32
2021;Aguilar de Segarra;proporció de població de 65 anys o més (%);total;;19,37
2021;Aguilar de Segarra;edat mitjana;homes;;44,00
2021;Aguilar de Segarra;edat mitjana;dones;;42,42
2021;Aguilar de Segarra;edat mitjana;total;;43,27
2021;Aguilar de Segarra;edat mediana;homes;;48,8
2021;Aguilar de Segarra;edat mediana;dones;;43,8
2021;Aguilar de Segarra;edat mediana;total;;46,0
2021;Agullana;proporció sobre la població (%);homes;;50,17
2021;Agullana;proporció sobre la població (%);dones;;49,83
2021;Agullana;proporció sobre la població (%);total;;100,00
2021;Agullana;proporció de població de 0 a 15 anys (%);homes;;16,82
2021;Agullana;proporció de població de 0 a 15 anys (%);dones;;16,48
2021;Agullana;proporció de població de 0 a 15 anys (%);total;;16,65
2021;Agullana;proporció de població de 16 a 64 anys (%);homes;;62,56
2021;Agullana;proporció de població de 16 a 64 anys (%);dones;;61,85
2021;Agullana;proporció de població de 16 a 64 anys (%);total;;62,20
2021;Agullana;proporció de població de 65 anys o més (%);homes;;20,63
2021;Agullana;proporció de població de 65 anys o més (%);dones;;21,67
2021;Agullana;proporció de població de 65 anys o més (%);total;;21,15
2021;Agullana;edat mitjana;homes;;44,20
2021;Agullana;edat mitjana;dones;;43,88
2021;Agullana;edat mitjana;total;;44,04
2021;Agullana;edat mediana;homes;;45,7
2021;Agullana;edat mediana;dones;;43,9
2021;Agullana;edat mediana;total;;44,9
2021;Aiguafreda;proporció sobre la població (%);homes;;48,49
2021;Aiguafreda;proporció sobre la població (%);dones;;51,51
2021;Aiguafreda;proporció sobre la població (%);total;;100,00
2021;Aiguafreda;proporció de població de 0 a 15 anys (%);homes;;13,65
2021;Aiguafreda;proporció de població de 0 a 15 anys (%);dones;;13,61
2021;Aiguafreda;proporció de població de 0 a 15 anys (%);total;;13,63
2021;Aiguafreda;proporció de població de 16 a 64 anys (%);homes;;67,77
2021;Aiguafreda;proporció de població de 16 a 64 anys (%);dones;;61,83
2021;Aiguafreda;proporció de població de 16 a 64 anys (%);total;;64,71
2021;Aiguafreda;proporció de població de 65 anys o més (%);homes;;18,58
2021;Aiguafreda;proporció de població de 65 anys o més (%);dones;;24,56
2021;Aiguafreda;proporció de població de 65 anys o més (%);total;;21,66
2021;Aiguafreda;edat mitjana;homes;;44,29
2021;Aiguafreda;edat mitjana;dones;;47,07
2021;Aiguafreda;edat mitjana;total;;45,72
2021;Aiguafreda;edat mediana;homes;;45,7
2021;Aiguafreda;edat mediana;dones;;48,2
2021;Aiguafreda;edat mediana;total;;46,9
2021;Aiguamúrcia;proporció sobre la població (%);homes;;51,72
2021;Aiguamúrcia;proporció sobre la població (%);dones;;48,28
2021;Aiguamúrcia;proporció sobre la població (%);total;;100,00
2021;Aiguamúrcia;proporció de població de 0 a 15 anys (%);homes;;13,13
2021;Aiguamúrcia;proporció de població de 0 a 15 anys (%);dones;;16,88
2021;Aiguamúrcia;proporció de població de 0 a 15 anys (%);total;;14,94
2021;Aiguamúrcia;proporció de població de 16 a 64 anys (%);homes;;63,84
2021;Aiguamúrcia;proporció de població de 16 a 64 anys (%);dones;;60,61
2021;Aiguamúrcia;proporció de població de 16 a 64 anys (%);total;;62,28
2021;Aiguamúrcia;proporció de població de 65 anys o més (%);homes;;23,03
2021;Aiguamúrcia;proporció de població de 65 anys o més (%);dones;;22,51
2021;Aiguamúrcia;proporció de població de 65 anys o més (%);total;;22,78
2021;Aiguamúrcia;edat mitjana;homes;;45,96
2021;Aiguamúrcia;edat mitjana;dones;;44,87
2021;Aiguamúrcia;edat mitjana;total;;45,43
2021;Aiguamúrcia;edat mediana;homes;;47,1
2021;Aiguamúrcia;edat mediana;dones;;44,5
2021;Aiguamúrcia;edat mediana;total;;45,7
2021;Aiguaviva;proporció sobre la població (%);homes;;49,94
2021;Aiguaviva;proporció sobre la població (%);dones;;50,06
2021;Aiguaviva;proporció sobre la població (%);total;;100,00
2021;Aiguaviva;proporció de població de 0 a 15 anys (%);homes;;20,30
2021;Aiguaviva;proporció de població de 0 a 15 anys (%);dones;;17,22
2021;Aiguaviva;proporció de població de 0 a 15 anys (%);total;;18,76
2021;Aiguaviva;proporció de població de 16 a 64 anys (%);homes;;64,72
2021;Aiguaviva;proporció de població de 16 a 64 anys (%);dones;;67,09
2021;Aiguaviva;proporció de població de 16 a 64 anys (%);total;;65,91
2021;Aiguaviva;proporció de població de 65 anys o més (%);homes;;14,97
2021;Aiguaviva;proporció de població de 65 anys o més (%);dones;;15,70
2021;Aiguaviva;proporció de població de 65 anys o més (%);total;;15,34
2021;Aiguaviva;edat mitjana;homes;;40,88
2021;Aiguaviva;edat mitjana;dones;;40,72
2021;Aiguaviva;edat mitjana;total;;40,80
2021;Aiguaviva;edat mediana;homes;;43,7
2021;Aiguaviva;edat mediana;dones;;42,5
2021;Aiguaviva;edat mediana;total;;43,2
2021;Aitona;proporció sobre la població (%);homes;;52,57
2021;Aitona;proporció sobre la població (%);dones;;47,43
2021;Aitona;proporció sobre la població (%);total;;100,00
2021;Aitona;proporció de població de 0 a 15 anys (%);homes;;16,82
2021;Aitona;proporció de població de 0 a 15 anys (%);dones;;16,10
2021;Aitona;proporció de població de 0 a 15 anys (%);total;;16,48
2021;Aitona;proporció de població de 16 a 64 anys (%);homes;;64,37
2021;Aitona;proporció de població de 16 a 64 anys (%);dones;;57,63
2021;Aitona;proporció de població de 16 a 64 anys (%);total;;61,17
2021;Aitona;proporció de població de 65 anys o més (%);homes;;18,81
2021;Aitona;proporció de població de 65 anys o més (%);dones;;26,27
2021;Aitona;proporció de població de 65 anys o més (%);total;;22,35
2021;Aitona;edat mitjana;homes;;42,69
2021;Aitona;edat mitjana;dones;;46,20
2021;Aitona;edat mitjana;total;;44,36
2021;Aitona;edat mediana;homes;;43,4
2021;Aitona;edat mediana;dones;;45,9
2021;Aitona;edat mediana;total;;44,3
2021;Alamús, els;proporció sobre la població (%);homes;;50,32
2021;Alamús, els;proporció sobre la població (%);dones;;49,68
2021;Alamús, els;proporció sobre la població (%);total;;100,00
2021;Alamús, els;proporció de població de 0 a 15 anys (%);homes;;14,43
2021;Alamús, els;proporció de població de 0 a 15 anys (%);dones;;13,05
2021;Alamús, els;proporció de població de 0 a 15 anys (%);total;;13,75
2021;Alamús, els;proporció de població de 16 a 64 anys (%);homes;;64,69
2021;Alamús, els;proporció de població de 16 a 64 anys (%);dones;;64,75
2021;Alamús, els;proporció de població de 16 a 64 anys (%);total;;64,72
2021;Alamús, els;proporció de població de 65 anys o més (%);homes;;20,88
2021;Alamús, els;proporció de població de 65 anys o més (%);dones;;22,19
2021;Alamús, els;proporció de població de 65 anys o més (%);total;;21,53
2021;Alamús, els;edat mitjana;homes;;44,91
2021;Alamús, els;edat mitjana;dones;;45,38
2021;Alamús, els;edat mitjana;total;;45,15
2021;Alamús, els;edat mediana;homes;;45,5
2021;Alamús, els;edat mediana;dones;;44,9
2021;Alamús, els;edat mediana;total;;45,2
2021;Alàs i Cerc;proporció sobre la població (%);homes;;48,47
2021;Alàs i Cerc;proporció sobre la població (%);dones;;51,53
2021;Alàs i Cerc;proporció sobre la població (%);total;;100,00
2021;Alàs i Cerc;proporció de població de 0 a 15 anys (%);homes;;15,19
2021;Alàs i Cerc;proporció de població de 0 a 15 anys (%);dones;;13,10
2021;Alàs i Cerc;proporció de població de 0 a 15 anys (%);total;;14,11
2021;Alàs i Cerc;proporció de població de 16 a 64 anys (%);homes;;56,33
2021;Alàs i Cerc;proporció de població de 16 a 64 anys (%);dones;;52,98
2021;Alàs i Cerc;proporció de població de 16 a 64 anys (%);total;;54,60
2021;Alàs i Cerc;proporció de població de 65 anys o més (%);homes;;28,48
2021;Alàs i Cerc;proporció de població de 65 anys o més (%);dones;;33,93
2021;Alàs i Cerc;proporció de població de 65 anys o més (%);total;;31,29
2021;Alàs i Cerc;edat mitjana;homes;;48,32
2021;Alàs i Cerc;edat mitjana;dones;;49,45
2021;Alàs i Cerc;edat mitjana;total;;48,90
2021;Alàs i Cerc;edat mediana;homes;;50,3
2021;Alàs i Cerc;edat mediana;dones;;52,0
2021;Alàs i Cerc;edat mediana;total;;50,9
2021;Albagés, l';proporció sobre la població (%);homes;;52,96
2021;Albagés, l';proporció sobre la població (%);dones;;47,04
2021;Albagés, l';proporció sobre la població (%);total;;100,00
2021;Albagés, l';proporció de població de 0 a 15 anys (%);homes;;7,45
2021;Albagés, l';proporció de població de 0 a 15 anys (%);dones;;8,38
2021;Albagés, l';proporció de població de 0 a 15 anys (%);total;;7,89
2021;Albagés, l';proporció de població de 16 a 64 anys (%);homes;;64,89
2021;Albagés, l';proporció de població de 16 a 64 anys (%);dones;;59,28
2021;Albagés, l';proporció de població de 16 a 64 anys (%);total;;62,25
2021;Albagés, l';proporció de població de 65 anys o més (%);homes;;27,66
2021;Albagés, l';proporció de població de 65 anys o més (%);dones;;32,34
2021;Albagés, l';proporció de població de 65 anys o més (%);total;;29,86
2021;Albagés, l';edat mitjana;homes;;49,57
2021;Albagés, l';edat mitjana;dones;;51,34
2021;Albagés, l';edat mitjana;total;;50,40
2021;Albagés, l';edat mediana;homes;;52,0
2021;Albagés, l';edat mediana;dones;;52,5
2021;Albagés, l';edat mediana;total;;52,2
2021;Albanyà;proporció sobre la població (%);homes;;51,43
2021;Albanyà;proporció sobre la població (%);dones;;48,57
2021;Albanyà;proporció sobre la població (%);total;;100,00
2021;Albanyà;proporció de població de 0 a 15 anys (%);homes;;24,44
2021;Albanyà;proporció de població de 0 a 15 anys (%);dones;;24,71
2021;Albanyà;proporció de població de 0 a 15 anys (%);total;;24,57
2021;Albanyà;proporció de població de 16 a 64 anys (%);homes;;56,67
2021;Albanyà;proporció de població de 16 a 64 anys (%);dones;;57,65
2021;Albanyà;proporció de població de 16 a 64 anys (%);total;;57,14
2021;Albanyà;proporció de població de 65 anys o més (%);homes;;18,89
2021;Albanyà;proporció de població de 65 anys o més (%);dones;;17,65
2021;Albanyà;proporció de població de 65 anys o més (%);total;;18,29
2021;Albanyà;edat mitjana;homes;;39,92
2021;Albanyà;edat mitjana;dones;;39,79
2021;Albanyà;edat mitjana;total;;39,86
2021;Albanyà;edat mediana;homes;;43,3
2021;Albanyà;edat mediana;dones;;38,5
2021;Albanyà;edat mediana;total;;40,8
2021;Albatàrrec;proporció sobre la població (%);homes;;51,59
2021;Albatàrrec;proporció sobre la població (%);dones;;48,41
2021;Albatàrrec;proporció sobre la població (%);total;;100,00
2021;Albatàrrec;proporció de població de 0 a 15 anys (%);homes;;17,90
2021;Albatàrrec;proporció de població de 0 a 15 anys (%);dones;;17,86
2021;Albatàrrec;proporció de població de 0 a 15 anys (%);total;;17,88
2021;Albatàrrec;proporció de població de 16 a 64 anys (%);homes;;71,43
2021;Albatàrrec;proporció de població de 16 a 64 anys (%);dones;;67,48
2021;Albatàrrec;proporció de població de 16 a 64 anys (%);total;;69,52
2021;Albatàrrec;proporció de població de 65 anys o més (%);homes;;10,67
2021;Albatàrrec;proporció de població de 65 anys o més (%);dones;;14,66
2021;Albatàrrec;proporció de població de 65 anys o més (%);total;;12,60
2021;Albatàrrec;edat mitjana;homes;;38,91
2021;Albatàrrec;edat mitjana;dones;;41,00
2021;Albatàrrec;edat mitjana;total;;39,92
2021;Albatàrrec;edat mediana;homes;;40,5
2021;Albatàrrec;edat mediana;dones;;41,7
2021;Albatàrrec;edat mediana;total;;41,0
2021;Albesa;proporció sobre la població (%);homes;;54,28
2021;Albesa;proporció sobre la població (%);dones;;45,72
2021;Albesa;proporció sobre la població (%);total;;100,00
2021;Albesa;proporció de població de 0 a 15 anys (%);homes;;15,17
2021;Albesa;proporció de població de 0 a 15 anys (%);dones;;13,22
2021;Albesa;proporció de població de 0 a 15 anys (%);total;;14,28
2021;Albesa;proporció de població de 16 a 64 anys (%);homes;;65,28
2021;Albesa;proporció de població de 16 a 64 anys (%);dones;;58,65
2021;Albesa;proporció de població de 16 a 64 anys (%);total;;62,25
2021;Albesa;proporció de població de 65 anys o més (%);homes;;19,55
2021;Albesa;proporció de població de 65 anys o més (%);dones;;28,13
2021;Albesa;proporció de població de 65 anys o més (%);total;;23,47
2021;Albesa;edat mitjana;homes;;43,75
2021;Albesa;edat mitjana;dones;;47,82
2021;Albesa;edat mitjana;total;;45,61
2021;Albesa;edat mediana;homes;;43,9
2021;Albesa;edat mediana;dones;;49,5
2021;Albesa;edat mediana;total;;46,1
2021;Albi, l';proporció sobre la població (%);homes;;51,14
2021;Albi, l';proporció sobre la població (%);dones;;48,86
2021;Albi, l';proporció sobre la població (%);total;;100,00
2021;Albi, l';proporció de població de 0 a 15 anys (%);homes;;16,23
2021;Albi, l';proporció de població de 0 a 15 anys (%);dones;;11,51
2021;Albi, l';proporció de població de 0 a 15 anys (%);total;;13,92
2021;Albi, l';proporció de població de 16 a 64 anys (%);homes;;54,45
2021;Albi, l';proporció de població de 16 a 64 anys (%);dones;;54,25
2021;Albi, l';proporció de població de 16 a 64 anys (%);total;;54,35
2021;Albi, l';proporció de població de 65 anys o més (%);homes;;29,32
2021;Albi, l';proporció de població de 65 anys o més (%);dones;;34,25
2021;Albi, l';proporció de població de 65 anys o més (%);total;;31,73
2021;Albi, l';edat mitjana;homes;;47,20
2021;Albi, l';edat mitjana;dones;;51,11
2021;Albi, l';edat mitjana;total;;49,11
2021;Albi, l';edat mediana;homes;;48,0
2021;Albi, l';edat mediana;dones;;52,2
2021;Albi, l';edat mediana;total;;50,0
2021;Albinyana;proporció sobre la població (%);homes;;51,70
2021;Albinyana;proporció sobre la població (%);dones;;48,30
2021;Albinyana;proporció sobre la població (%);total;;100,00
2021;Albinyana;proporció de població de 0 a 15 anys (%);homes;;16,42
2021;Albinyana;proporció de població de 0 a 15 anys (%);dones;;14,34
2021;Albinyana;proporció de població de 0 a 15 anys (%);total;;15,42
2021;Albinyana;proporció de població de 16 a 64 anys (%);homes;;66,62
2021;Albinyana;proporció de població de 16 a 64 anys (%);dones;;62,94
2021;Albinyana;proporció de població de 16 a 64 anys (%);total;;64,84
2021;Albinyana;proporció de població de 65 anys o més (%);homes;;16,96
2021;Albinyana;proporció de població de 65 anys o més (%);dones;;22,72
2021;Albinyana;proporció de població de 65 anys o més (%);total;;19,74
2021;Albinyana;edat mitjana;homes;;42,22
2021;Albinyana;edat mitjana;dones;;44,82
2021;Albinyana;edat mitjana;total;;43,47
2021;Albinyana;edat mediana;homes;;44,1
2021;Albinyana;edat mediana;dones;;44,7
2021;Albinyana;edat mediana;total;;44,4
2021;Albiol, l';proporció sobre la població (%);homes;;53,56
2021;Albiol, l';proporció sobre la població (%);dones;;46,44
2021;Albiol, l';proporció sobre la població (%);total;;100,00
2021;Albiol, l';proporció de població de 0 a 15 anys (%);homes;;26,26
2021;Albiol, l';proporció de població de 0 a 15 anys (%);dones;;19,50
2021;Albiol, l';proporció de població de 0 a 15 anys (%);total;;23,12
2021;Albiol, l';proporció de població de 16 a 64 anys (%);homes;;60,43
2021;Albiol, l';proporció de població de 16 a 64 anys (%);dones;;65,98
2021;Albiol, l';proporció de població de 16 a 64 anys (%);total;;63,01
2021;Albiol, l';proporció de població de 65 anys o més (%);homes;;13,31
2021;Albiol, l';proporció de població de 65 anys o més (%);dones;;14,52
2021;Albiol, l';proporció de població de 65 anys o més (%);total;;13,87
2021;Albiol, l';edat mitjana;homes;;38,19
2021;Albiol, l';edat mitjana;dones;;40,66
2021;Albiol, l';edat mitjana;total;;39,34
2021;Albiol, l';edat mediana;homes;;42,0
2021;Albiol, l';edat mediana;dones;;41,8
2021;Albiol, l';edat mediana;total;;41,9
2021;Albons;proporció sobre la població (%);homes;;50,88
2021;Albons;proporció sobre la població (%);dones;;49,12
2021;Albons;proporció sobre la població (%);total;;100,00
2021;Albons;proporció de població de 0 a 15 anys (%);homes;;13,37
2021;Albons;proporció de població de 0 a 15 anys (%);dones;;15,38
2021;Albons;proporció de població de 0 a 15 anys (%);total;;14,36
2021;Albons;proporció de població de 16 a 64 anys (%);homes;;64,60
2021;Albons;proporció de població de 16 a 64 anys (%);dones;;64,10
2021;Albons;proporció de població de 16 a 64 anys (%);total;;64,36
2021;Albons;proporció de població de 65 anys o més (%);homes;;22,03
2021;Albons;proporció de població de 65 anys o més (%);dones;;20,51
2021;Albons;proporció de població de 65 anys o més (%);total;;21,28
2021;Albons;edat mitjana;homes;;44,74
2021;Albons;edat mitjana;dones;;44,52
2021;Albons;edat mitjana;total;;44,63
2021;Albons;edat mediana;homes;;46,3
2021;Albons;edat mediana;dones;;46,2
2021;Albons;edat mediana;total;;46,3
2021;Alcanar;proporció sobre la població (%);homes;;50,77
2021;Alcanar;proporció sobre la població (%);dones;;49,23
2021;Alcanar;proporció sobre la població (%);total;;100,00
2021;Alcanar;proporció de població de 0 a 15 anys (%);homes;;15,18
2021;Alcanar;proporció de població de 0 a 15 anys (%);dones;;14,53
2021;Alcanar;proporció de població de 0 a 15 anys (%);total;;14,86
2021;Alcanar;proporció de població de 16 a 64 anys (%);homes;;64,82
2021;Alcanar;proporció de població de 16 a 64 anys (%);dones;;62,34
2021;Alcanar;proporció de població de 16 a 64 anys (%);total;;63,60
2021;Alcanar;proporció de població de 65 anys o més (%);homes;;20,00
2021;Alcanar;proporció de població de 65 anys o més (%);dones;;23,13
2021;Alcanar;proporció de població de 65 anys o més (%);total;;21,54
2021;Alcanar;edat mitjana;homes;;43,94
2021;Alcanar;edat mitjana;dones;;45,88
2021;Alcanar;edat mitjana;total;;44,90
2021;Alcanar;edat mediana;homes;;44,8
2021;Alcanar;edat mediana;dones;;46,4
2021;Alcanar;edat mediana;total;;45,5
2021;Alcanó;proporció sobre la població (%);homes;;50,85
2021;Alcanó;proporció sobre la població (%);dones;;49,15
2021;Alcanó;proporció sobre la població (%);total;;100,00
2021;Alcanó;proporció de població de 0 a 15 anys (%);homes;;15,97
2021;Alcanó;proporció de població de 0 a 15 anys (%);dones;;13,04
2021;Alcanó;proporció de població de 0 a 15 anys (%);total;;14,53
2021;Alcanó;proporció de població de 16 a 64 anys (%);homes;;60,50
2021;Alcanó;proporció de població de 16 a 64 anys (%);dones;;58,26
2021;Alcanó;proporció de població de 16 a 64 anys (%);total;;59,40
2021;Alcanó;proporció de població de 65 anys o més (%);homes;;23,53
2021;Alcanó;proporció de població de 65 anys o més (%);dones;;28,70
2021;Alcanó;proporció de població de 65 anys o més (%);total;;26,07
2021;Alcanó;edat mitjana;homes;;47,03
2021;Alcanó;edat mitjana;dones;;48,25
2021;Alcanó;edat mitjana;total;;47,63
2021;Alcanó;edat mediana;homes;;49,8
2021;Alcanó;edat mediana;dones;;47,9
2021;Alcanó;edat mediana;total;;49,4
2021;Alcarràs;proporció sobre la població (%);homes;;52,17
2021;Alcarràs;proporció sobre la població (%);dones;;47,83
2021;Alcarràs;proporció sobre la població (%);total;;100,00
2021;Alcarràs;proporció de població de 0 a 15 anys (%);homes;;19,03
2021;Alcarràs;proporció de població de 0 a 15 anys (%);dones;;19,04
2021;Alcarràs;proporció de població de 0 a 15 anys (%);total;;19,03
2021;Alcarràs;proporció de població de 16 a 64 anys (%);homes;;70,30
2021;Alcarràs;proporció de població de 16 a 64 anys (%);dones;;67,41
2021;Alcarràs;proporció de població de 16 a 64 anys (%);total;;68,92
2021;Alcarràs;proporció de població de 65 anys o més (%);homes;;10,68
2021;Alcarràs;proporció de població de 65 anys o més (%);dones;;13,55
2021;Alcarràs;proporció de població de 65 anys o més (%);total;;12,05
2021;Alcarràs;edat mitjana;homes;;38,92
2021;Alcarràs;edat mitjana;dones;;39,40
2021;Alcarràs;edat mitjana;total;;39,15
2021;Alcarràs;edat mediana;homes;;40,8
2021;Alcarràs;edat mediana;dones;;39,9
2021;Alcarràs;edat mediana;total;;40,4
2021;Alcoletge;proporció sobre la població (%);homes;;52,85
2021;Alcoletge;proporció sobre la població (%);dones;;47,15
2021;Alcoletge;proporció sobre la població (%);total;;100,00
2021;Alcoletge;proporció de població de 0 a 15 anys (%);homes;;17,79
2021;Alcoletge;proporció de població de 0 a 15 anys (%);dones;;19,21
2021;Alcoletge;proporció de població de 0 a 15 anys (%);total;;18,46
2021;Alcoletge;proporció de població de 16 a 64 anys (%);homes;;70,30
2021;Alcoletge;proporció de població de 16 a 64 anys (%);dones;;66,47
2021;Alcoletge;proporció de població de 16 a 64 anys (%);total;;68,49
2021;Alcoletge;proporció de població de 65 anys o més (%);homes;;11,91
2021;Alcoletge;proporció de població de 65 anys o més (%);dones;;14,32
2021;Alcoletge;proporció de població de 65 anys o més (%);total;;13,05
2021;Alcoletge;edat mitjana;homes;;39,59
2021;Alcoletge;edat mitjana;dones;;40,45
2021;Alcoletge;edat mitjana;total;;40,00
2021;Alcoletge;edat mediana;homes;;40,7
2021;Alcoletge;edat mediana;dones;;41,2
2021;Alcoletge;edat mediana;total;;40,9
2021;Alcover;proporció sobre la població (%);homes;;49,77
2021;Alcover;proporció sobre la població (%);dones;;50,23
2021;Alcover;proporció sobre la població (%);total;;100,00
2021;Alcover;proporció de població de 0 a 15 anys (%);homes;;17,79
2021;Alcover;proporció de població de 0 a 15 anys (%);dones;;17,51
2021;Alcover;proporció de població de 0 a 15 anys (%);total;;17,65
2021;Alcover;proporció de població de 16 a 64 anys (%);homes;;65,58
2021;Alcover;proporció de població de 16 a 64 anys (%);dones;;62,98
2021;Alcover;proporció de població de 16 a 64 anys (%);total;;64,27
2021;Alcover;proporció de població de 65 anys o més (%);homes;;16,63
2021;Alcover;proporció de població de 65 anys o més (%);dones;;19,51
2021;Alcover;proporció de població de 65 anys o més (%);total;;18,07
2021;Alcover;edat mitjana;homes;;41,44
2021;Alcover;edat mitjana;dones;;42,90
2021;Alcover;edat mitjana;total;;42,17
2021;Alcover;edat mediana;homes;;42,9
2021;Alcover;edat mediana;dones;;44,1
2021;Alcover;edat mediana;total;;43,4
2021;Aldea, l';proporció sobre la població (%);homes;;53,39
2021;Aldea, l';proporció sobre la població (%);dones;;46,61
2021;Aldea, l';proporció sobre la població (%);total;;100,00
2021;Aldea, l';proporció de població de 0 a 15 anys (%);homes;;15,65
2021;Aldea, l';proporció de població de 0 a 15 anys (%);dones;;14,64
2021;Aldea, l';proporció de població de 0 a 15 anys (%);total;;15,18
2021;Aldea, l';proporció de població de 16 a 64 anys (%);homes;;65,04
2021;Aldea, l';proporció de població de 16 a 64 anys (%);dones;;61,09
2021;Aldea, l';proporció de població de 16 a 64 anys (%);total;;63,20
2021;Aldea, l';proporció de població de 65 anys o més (%);homes;;19,31
2021;Aldea, l';proporció de població de 65 anys o més (%);dones;;24,27
2021;Aldea, l';proporció de població de 65 anys o més (%);total;;21,62
2021;Aldea, l';edat mitjana;homes;;43,10
