any;municipi;concepte;estat;valor
2015;Albanyà;estrangers de països de renda baixa o mitjana (%);;2,7
2015;Albanyà;renda mitjana per persona (€);;9115
2015;Albatàrrec;població ocupada (%);;59,1
2015;Albatàrrec;treballadors de baixa qualificació (%);;21,2
2015;Albatàrrec;població amb estudis baixos (%);..;null
2015;Albatàrrec;població jove sense estudis postobligatoris (%);..;null
2015;Albatàrrec;estrangers de països de renda baixa o mitjana (%);;17,4
2015;Albatàrrec;renda mitjana per persona (€);;10133
2015;Albesa;població ocupada (%);;69,0
2015;Albesa;treballadors de baixa qualificació (%);;21,0
2015;Albesa;població amb estudis baixos (%);..;null
2015;Albesa;població jove sense estudis postobligatoris (%);..;null
2015;Albesa;estrangers de països de renda baixa o mitjana (%);;14,2
2015;Albesa;renda mitjana per persona (€);;10426
2015;Albi, l';població ocupada (%);;60,5
2015;Albi, l';treballadors de baixa qualificació (%);..;null
2015;Albi, l';població amb estudis baixos (%);..;null
2015;Albi, l';població jove sense estudis postobligatoris (%);..;null
2015;Albi, l';estrangers de països de renda baixa o mitjana (%);;6,8
2015;Albi, l';renda mitjana per persona (€);;10451
2015;Albinyana;població ocupada (%);;53,4
2015;Albinyana;treballadors de baixa qualificació (%);;16,8
2015;Albinyana;població amb estudis baixos (%);..;null
2015;Albinyana;població jove sense estudis postobligatoris (%);..;null
2015;Albinyana;estrangers de països de renda baixa o mitjana (%);;3,1
2015;Albinyana;renda mitjana per persona (€);;9729
2015;Albiol, l';població ocupada (%);;65,3
2015;Albiol, l';treballadors de baixa qualificació (%);..;null
2015;Albiol, l';població amb estudis baixos (%);..;null
2015;Albiol, l';població jove sense estudis postobligatoris (%);..;null
2015;Albiol, l';estrangers de països de renda baixa o mitjana (%);;4,5
2015;Albiol, l';renda mitjana per persona (€);;12924
2015;Albons;població ocupada (%);;62,8
2015;Albons;treballadors de baixa qualificació (%);..;null
2015;Albons;població amb estudis baixos (%);..;null
2015;Albons;població jove sense estudis postobligatoris (%);..;null
2015;Albons;estrangers de països de renda baixa o mitjana (%);;7,2
2015;Albons;renda mitjana per persona (€);;11128
2015;Alcanar;població ocupada (%);;50,0
2015;Alcanar;treballadors de baixa qualificació (%);;28,9
2015;Alcanar;població amb estudis baixos (%);..;null
2015;Alcanar;població jove sense estudis postobligatoris (%);..;null
2015;Alcanar;estrangers de països de renda baixa o mitjana (%);;17,5
2015;Alcanar;renda mitjana per persona (€);;8671
2015;Alcanó;població ocupada (%);;72,4
2015;Alcanó;treballadors de baixa qualificació (%);..;null
2015;Alcanó;població amb estudis baixos (%);..;null
2015;Alcanó;població jove sense estudis postobligatoris (%);..;null
2015;Alcanó;estrangers de països de renda baixa o mitjana (%);;1,2
2015;Alcanó;renda mitjana per persona (€);;9863
2015;Alcarràs;població ocupada (%);;62,8
2015;Alcarràs;treballadors de baixa qualificació (%);;24,3
2015;Alcarràs;població amb estudis baixos (%);..;null
2015;Alcarràs;població jove sense estudis postobligatoris (%);..;null
2015;Alcarràs;estrangers de països de renda baixa o mitjana (%);;27,8
2015;Alcarràs;renda mitjana per persona (€);;9773
2015;Alcoletge;població ocupada (%);;64,6
2015;Alcoletge;treballadors de baixa qualificació (%);;14,0
2015;Alcoletge;població amb estudis baixos (%);..;null
2015;Alcoletge;població jove sense estudis postobligatoris (%);..;null
2015;Alcoletge;estrangers de països de renda baixa o mitjana (%);;12,0
2015;Alcoletge;renda mitjana per persona (€);;10587
2015;Alcover;població ocupada (%);;64,0
2015;Alcover;treballadors de baixa qualificació (%);;15,4
2015;Alcover;població amb estudis baixos (%);..;null
2015;Alcover;població jove sense estudis postobligatoris (%);..;null
2015;Alcover;estrangers de països de renda baixa o mitjana (%);;10,5
2015;Alcover;renda mitjana per persona (€);;11278
2015;Aldea, l';població ocupada (%);;57,7
2015;Aldea, l';treballadors de baixa qualificació (%);;24,5
2015;Aldea, l';població amb estudis baixos (%);..;null
2015;Aldea, l';població jove sense estudis postobligatoris (%);..;null
2015;Aldea, l';estrangers de països de renda baixa o mitjana (%);;17,7
2015;Aldea, l';renda mitjana per persona (€);;8635
2015;Aldover;població ocupada (%);;55,6
2015;Aldover;treballadors de baixa qualificació (%);..;null
2015;Aldover;població amb estudis baixos (%);..;null
2015;Aldover;població jove sense estudis postobligatoris (%);..;null
2015;Aldover;estrangers de països de renda baixa o mitjana (%);;7,7
2015;Aldover;renda mitjana per persona (€);;9818
2015;Aleixar, l';població ocupada (%);;64,9
2015;Aleixar, l';treballadors de baixa qualificació (%);..;null
2015;Aleixar, l';població amb estudis baixos (%);..;null
2015;Aleixar, l';població jove sense estudis postobligatoris (%);..;null
2015;Aleixar, l';estrangers de països de renda baixa o mitjana (%);;8,5
2015;Aleixar, l';renda mitjana per persona (€);;10434
2015;Alella;població ocupada (%);;62,7
2015;Alella;treballadors de baixa qualificació (%);;5,6
2015;Alella;població amb estudis baixos (%);..;null
2015;Alella;població jove sense estudis postobligatoris (%);..;null
2015;Alella;estrangers de països de renda baixa o mitjana (%);;4,0
2015;Alella;renda mitjana per persona (€);;18228
2015;Alfara de Carles;població ocupada (%);;58,5
2015;Alfara de Carles;treballadors de baixa qualificació (%);..;null
2015;Alfara de Carles;població amb estudis baixos (%);..;null
2015;Alfara de Carles;població jove sense estudis postobligatoris (%);..;null
2015;Alfara de Carles;estrangers de països de renda baixa o mitjana (%);;4,5
2015;Alfara de Carles;renda mitjana per persona (€);;9657
2015;Alfarràs;població ocupada (%);;50,7
2015;Alfarràs;treballadors de baixa qualificació (%);;22,8
2015;Alfarràs;població amb estudis baixos (%);..;null
2015;Alfarràs;població jove sense estudis postobligatoris (%);..;null
2015;Alfarràs;estrangers de països de renda baixa o mitjana (%);;10,3
2015;Alfarràs;renda mitjana per persona (€);;9162
2015;Alfés;població ocupada (%);;66,2
2015;Alfés;treballadors de baixa qualificació (%);..;null
2015;Alfés;població amb estudis baixos (%);..;null
2015;Alfés;població jove sense estudis postobligatoris (%);..;null
2015;Alfés;estrangers de països de renda baixa o mitjana (%);;9,8
2015;Alfés;renda mitjana per persona (€);;10922
2015;Alforja;població ocupada (%);;56,9
2015;Alforja;treballadors de baixa qualificació (%);;13,1
2015;Alforja;població amb estudis baixos (%);..;null
2015;Alforja;població jove sense estudis postobligatoris (%);..;null
2015;Alforja;estrangers de països de renda baixa o mitjana (%);;6,6
2015;Alforja;renda mitjana per persona (€);;10710
2015;Algerri;població ocupada (%);;65,4
2015;Algerri;treballadors de baixa qualificació (%);..;null
2015;Algerri;població amb estudis baixos (%);..;null
2015;Algerri;població jove sense estudis postobligatoris (%);..;null
2015;Algerri;estrangers de països de renda baixa o mitjana (%);;5,7
2015;Algerri;renda mitjana per persona (€);;11579
2015;Alguaire;població ocupada (%);;63,4
2015;Alguaire;treballadors de baixa qualificació (%);;18,4
2015;Alguaire;població amb estudis baixos (%);..;null
2015;Alguaire;població jove sense estudis postobligatoris (%);..;null
2015;Alguaire;estrangers de països de renda baixa o mitjana (%);;14,5
2015;Alguaire;renda mitjana per persona (€);;10976
2015;Alins;població ocupada (%);;65,9
2015;Alins;treballadors de baixa qualificació (%);..;null
2015;Alins;població amb estudis baixos (%);..;null
2015;Alins;població jove sense estudis postobligatoris (%);..;null
2015;Alins;estrangers de països de renda baixa o mitjana (%);;4,2
2015;Alins;renda mitjana per persona (€);;12037
2015;Alió;població ocupada (%);;62,5
2015;Alió;treballadors de baixa qualificació (%);..;null
2015;Alió;població amb estudis baixos (%);..;null
2015;Alió;població jove sense estudis postobligatoris (%);..;null
2015;Alió;estrangers de països de renda baixa o mitjana (%);;8,8
2015;Alió;renda mitjana per persona (€);;11274
2015;Almacelles;població ocupada (%);;55,8
2015;Almacelles;treballadors de baixa qualificació (%);;25,3
2015;Almacelles;població amb estudis baixos (%);..;null
2015;Almacelles;població jove sense estudis postobligatoris (%);..;null
2015;Almacelles;estrangers de països de renda baixa o mitjana (%);;16,7
2015;Almacelles;renda mitjana per persona (€);;10527
2015;Almatret;població ocupada (%);;58,1
2015;Almatret;treballadors de baixa qualificació (%);..;null
2015;Almatret;població amb estudis baixos (%);..;null
2015;Almatret;població jove sense estudis postobligatoris (%);..;null
2015;Almatret;estrangers de països de renda baixa o mitjana (%);;2,1
2015;Almatret;renda mitjana per persona (€);;12270
2015;Almenar;població ocupada (%);;58,4
2015;Almenar;treballadors de baixa qualificació (%);;21,9
2015;Almenar;població amb estudis baixos (%);..;null
2015;Almenar;població jove sense estudis postobligatoris (%);..;null
2015;Almenar;estrangers de països de renda baixa o mitjana (%);;10,2
2015;Almenar;renda mitjana per persona (€);;10406
2015;Almoster;població ocupada (%);;68,1
2015;Almoster;treballadors de baixa qualificació (%);;7,2
2015;Almoster;població amb estudis baixos (%);..;null
2015;Almoster;població jove sense estudis postobligatoris (%);..;null
2015;Almoster;estrangers de països de renda baixa o mitjana (%);;1,4
2015;Almoster;renda mitjana per persona (€);;14773
2015;Alòs de Balaguer;població ocupada (%);;68,1
2015;Alòs de Balaguer;treballadors de baixa qualificació (%);..;null
2015;Alòs de Balaguer;població amb estudis baixos (%);..;null
2015;Alòs de Balaguer;població jove sense estudis postobligatoris (%);..;null
2015;Alòs de Balaguer;estrangers de països de renda baixa o mitjana (%);;6,5
2015;Alòs de Balaguer;renda mitjana per persona (€);;13125
2015;Alp;població ocupada (%);;63,8
2015;Alp;treballadors de baixa qualificació (%);;12,3
2015;Alp;població amb estudis baixos (%);..;null
2015;Alp;població jove sense estudis postobligatoris (%);..;null
2015;Alp;estrangers de països de renda baixa o mitjana (%);;10,3
2015;Alp;renda mitjana per persona (€);;13409
2015;Alpens;població ocupada (%);;60,4
2015;Alpens;treballadors de baixa qualificació (%);..;null
2015;Alpens;població amb estudis baixos (%);..;null
2015;Alpens;població jove sense estudis postobligatoris (%);..;null
2015;Alpens;estrangers de països de renda baixa o mitjana (%);;7,2
2015;Alpens;renda mitjana per persona (€);;13081
2015;Alpicat;població ocupada (%);;66,4
2015;Alpicat;treballadors de baixa qualificació (%);;8,5
2015;Alpicat;població amb estudis baixos (%);..;null
2015;Alpicat;població jove sense estudis postobligatoris (%);..;null
2015;Alpicat;estrangers de països de renda baixa o mitjana (%);;6,3
2015;Alpicat;renda mitjana per persona (€);;13653
2015;Alt Àneu;població ocupada (%);;67,3
2015;Alt Àneu;treballadors de baixa qualificació (%);..;null
2015;Alt Àneu;població amb estudis baixos (%);..;null
2015;Alt Àneu;població jove sense estudis postobligatoris (%);..;null
2015;Alt Àneu;estrangers de països de renda baixa o mitjana (%);;1,0
2015;Alt Àneu;renda mitjana per persona (€);;13888
2015;Altafulla;població ocupada (%);;59,0
2015;Altafulla;treballadors de baixa qualificació (%);;6,9
2015;Altafulla;població amb estudis baixos (%);..;null
2015;Altafulla;població jove sense estudis postobligatoris (%);..;null
2015;Altafulla;estrangers de països de renda baixa o mitjana (%);;7,0
2015;Altafulla;renda mitjana per persona (€);;14004
2015;Amer;població ocupada (%);;64,6
2015;Amer;treballadors de baixa qualificació (%);;12,7
2015;Amer;població amb estudis baixos (%);..;null
2015;Amer;població jove sense estudis postobligatoris (%);..;null
2015;Amer;estrangers de països de renda baixa o mitjana (%);;7,8
2015;Amer;renda mitjana per persona (€);;12811
2015;Ametlla de Mar, l';població ocupada (%);;48,5
2015;Ametlla de Mar, l';treballadors de baixa qualificació (%);;16,5
2015;Ametlla de Mar, l';població amb estudis baixos (%);..;null
2015;Ametlla de Mar, l';població jove sense estudis postobligatoris (%);..;null
2015;Ametlla de Mar, l';estrangers de països de renda baixa o mitjana (%);;13,0
2015;Ametlla de Mar, l';renda mitjana per persona (€);;9829
2015;Ametlla del Vallès, l';població ocupada (%);;66,3
2015;Ametlla del Vallès, l';treballadors de baixa qualificació (%);;8,0
2015;Ametlla del Vallès, l';població amb estudis baixos (%);..;null
2015;Ametlla del Vallès, l';població jove sense estudis postobligatoris (%);..;null
2015;Ametlla del Vallès, l';estrangers de països de renda baixa o mitjana (%);;2,1
2015;Ametlla del Vallès, l';renda mitjana per persona (€);;16061
2015;Ampolla, l';població ocupada (%);;49,2
2015;Ampolla, l';treballadors de baixa qualificació (%);;13,2
2015;Ampolla, l';població amb estudis baixos (%);..;null
2015;Ampolla, l';població jove sense estudis postobligatoris (%);..;null
2015;Ampolla, l';estrangers de països de renda baixa o mitjana (%);;15,9
2015;Ampolla, l';renda mitjana per persona (€);;10447
2015;Amposta;població ocupada (%);;52,9
2015;Amposta;treballadors de baixa qualificació (%);;16,5
2015;Amposta;població amb estudis baixos (%);..;null
2015;Amposta;població jove sense estudis postobligatoris (%);..;null
2015;Amposta;estrangers de països de renda baixa o mitjana (%);;14,7
2015;Amposta;renda mitjana per persona (€);;9355
2015;Anglès;població ocupada (%);;62,0
2015;Anglès;treballadors de baixa qualificació (%);;17,9
2015;Anglès;població amb estudis baixos (%);..;null
2015;Anglès;població jove sense estudis postobligatoris (%);..;null
2015;Anglès;estrangers de països de renda baixa o mitjana (%);;17,3
2015;Anglès;renda mitjana per persona (€);;10697
2015;Anglesola;població ocupada (%);;61,5
2015;Anglesola;treballadors de baixa qualificació (%);;21,1
2015;Anglesola;població amb estudis baixos (%);..;null
2015;Anglesola;població jove sense estudis postobligatoris (%);..;null
2015;Anglesola;estrangers de països de renda baixa o mitjana (%);;10,7
2015;Anglesola;renda mitjana per persona (€);;10682
2015;Arbeca;població ocupada (%);;60,8
2015;Arbeca;treballadors de baixa qualificació (%);;24,4
2015;Arbeca;població amb estudis baixos (%);..;null
2015;Arbeca;població jove sense estudis postobligatoris (%);..;null
2015;Arbeca;estrangers de països de renda baixa o mitjana (%);;14,7
2015;Arbeca;renda mitjana per persona (€);;10016
2015;Arboç, l';població ocupada (%);;56,1
2015;Arboç, l';treballadors de baixa qualificació (%);;20,6
2015;Arboç, l';població amb estudis baixos (%);..;null
2015;Arboç, l';població jove sense estudis postobligatoris (%);..;null
2015;Arboç, l';estrangers de països de renda baixa o mitjana (%);;22,1
2015;Arboç, l';renda mitjana per persona (€);;9700
2015;Arbolí;població ocupada (%);;63,5
2015;Arbolí;treballadors de baixa qualificació (%);..;null
2015;Arbolí;població amb estudis baixos (%);..;null
2015;Arbolí;població jove sense estudis postobligatoris (%);..;null
2015;Arbolí;estrangers de països de renda baixa o mitjana (%);;0,0
2015;Arbolí;renda mitjana per persona (€);;16119
2015;Arbúcies;població ocupada (%);;61,2
2015;Arbúcies;treballadors de baixa qualificació (%);;19,6
2015;Arbúcies;població amb estudis baixos (%);..;null
2015;Arbúcies;població jove sense estudis postobligatoris (%);..;null
2015;Arbúcies;estrangers de països de renda baixa o mitjana (%);;20,0
2015;Arbúcies;renda mitjana per persona (€);;10274
2015;Arenys de Mar;població ocupada (%);;58,8
2015;Arenys de Mar;treballadors de baixa qualificació (%);;10,0
2015;Arenys de Mar;població amb estudis baixos (%);..;null
2015;Arenys de Mar;població jove sense estudis postobligatoris (%);..;null
2015;Arenys de Mar;estrangers de països de renda baixa o mitjana (%);;7,4
2015;Arenys de Mar;renda mitjana per persona (€);;12090
2015;Arenys de Munt;població ocupada (%);;62,6
2015;Arenys de Munt;treballadors de baixa qualificació (%);;10,4
2015;Arenys de Munt;població amb estudis baixos (%);..;null
2015;Arenys de Munt;població jove sense estudis postobligatoris (%);..;null
2015;Arenys de Munt;estrangers de països de renda baixa o mitjana (%);;4,3
2015;Arenys de Munt;renda mitjana per persona (€);;11757
2015;Argelaguer;població ocupada (%);;64,2
2015;Argelaguer;treballadors de baixa qualificació (%);..;null
2015;Argelaguer;població amb estudis baixos (%);..;null
2015;Argelaguer;població jove sense estudis postobligatoris (%);..;null
2015;Argelaguer;estrangers de països de renda baixa o mitjana (%);;2,7
2015;Argelaguer;renda mitjana per persona (€);;12017
2015;Argençola;població ocupada (%);;63,0
2015;Argençola;treballadors de baixa qualificació (%);..;null
2015;Argençola;població amb estudis baixos (%);..;null
2015;Argençola;població jove sense estudis postobligatoris (%);..;null
2015;Argençola;estrangers de països de renda baixa o mitjana (%);;2,7
2015;Argençola;renda mitjana per persona (€);;11558
2015;Argentera, l';població ocupada (%);;61,3
2015;Argentera, l';treballadors de baixa qualificació (%);..;null
2015;Argentera, l';població amb estudis baixos (%);..;null
2015;Argentera, l';població jove sense estudis postobligatoris (%);..;null
2015;Argentera, l';estrangers de països de renda baixa o mitjana (%);;1,4
2015;Argentera, l';renda mitjana per persona (€);;15862
2015;Argentona;població ocupada (%);;64,5
2015;Argentona;treballadors de baixa qualificació (%);;9,1
2015;Argentona;població amb estudis baixos (%);..;null
2015;Argentona;població jove sense estudis postobligatoris (%);..;null
2015;Argentona;estrangers de països de renda baixa o mitjana (%);;2,9
2015;Argentona;renda mitjana per persona (€);;12751
2015;Armentera, l';població ocupada (%);;67,9
2015;Armentera, l';treballadors de baixa qualificació (%);..;null
2015;Armentera, l';població amb estudis baixos (%);..;null
2015;Armentera, l';població jove sense estudis postobligatoris (%);..;null
2015;Armentera, l';estrangers de països de renda baixa o mitjana (%);;11,2
2015;Armentera, l';renda mitjana per persona (€);;12346
2015;Arnes;població ocupada (%);;60,3
2015;Arnes;treballadors de baixa qualificació (%);..;null
2015;Arnes;població amb estudis baixos (%);..;null
2015;Arnes;població jove sense estudis postobligatoris (%);..;null
2015;Arnes;estrangers de països de renda baixa o mitjana (%);;0,8
2015;Arnes;renda mitjana per persona (€);;9278
2015;Arres;població ocupada (%);;53,5
2015;Arres;treballadors de baixa qualificació (%);..;null
2015;Arres;població amb estudis baixos (%);..;null
2015;Arres;població jove sense estudis postobligatoris (%);..;null
2015;Arres;estrangers de països de renda baixa o mitjana (%);;4,5
2015;Arres;renda mitjana per persona (€);..;null
2015;Arsèguel;població ocupada (%);;64,5
2015;Arsèguel;treballadors de baixa qualificació (%);..;null
2015;Arsèguel;població amb estudis baixos (%);..;null
2015;Arsèguel;població jove sense estudis postobligatoris (%);..;null
2015;Arsèguel;estrangers de països de renda baixa o mitjana (%);;1,3
2015;Arsèguel;renda mitjana per persona (€);..;null
2015;Artés;població ocupada (%);;64,8
2015;Artés;treballadors de baixa qualificació (%);;17,7
2015;Artés;població amb estudis baixos (%);..;null
2015;Artés;població jove sense estudis postobligatoris (%);..;null
2015;Artés;estrangers de països de renda baixa o mitjana (%);;8,6
2015;Artés;renda mitjana per persona (€);;11977
2015;Artesa de Lleida;població ocupada (%);;62,8
2015;Artesa de Lleida;treballadors de baixa qualificació (%);;17,2
2015;Artesa de Lleida;població amb estudis baixos (%);..;null
2015;Artesa de Lleida;població jove sense estudis postobligatoris (%);..;null
2015;Artesa de Lleida;estrangers de països de renda baixa o mitjana (%);;9,2
2015;Artesa de Lleida;renda mitjana per persona (€);;10460
2015;Artesa de Segre;població ocupada (%);;64,1
2015;Artesa de Segre;treballadors de baixa qualificació (%);;29,0
2015;Artesa de Segre;població amb estudis baixos (%);..;null
2015;Artesa de Segre;població jove sense estudis postobligatoris (%);..;null
2015;Artesa de Segre;estrangers de països de renda baixa o mitjana (%);;20,3
2015;Artesa de Segre;renda mitjana per persona (€);;9787
2015;Ascó;població ocupada (%);;62,5
2015;Ascó;treballadors de baixa qualificació (%);;14,9
2015;Ascó;població amb estudis baixos (%);..;null
2015;Ascó;població jove sense estudis postobligatoris (%);..;null
2015;Ascó;estrangers de països de renda baixa o mitjana (%);;6,6
2015;Ascó;renda mitjana per persona (€);;14602
2015;Aspa;població ocupada (%);;62,9
2015;Aspa;treballadors de baixa qualificació (%);..;null
2015;Aspa;població amb estudis baixos (%);..;null
2015;Aspa;població jove sense estudis postobligatoris (%);..;null
2015;Aspa;estrangers de països de renda baixa o mitjana (%);;4,6
2015;Aspa;renda mitjana per persona (€);;10509
2015;Avellanes i Santa Linya, les;població ocupada (%);;67,8
2015;Avellanes i Santa Linya, les;treballadors de baixa qualificació (%);..;null
2015;Avellanes i Santa Linya, les;població amb estudis baixos (%);..;null
2015;Avellanes i Santa Linya, les;població jove sense estudis postobligatoris (%);..;null
2015;Avellanes i Santa Linya, les;estrangers de països de renda baixa o mitjana (%);;6,1
2015;Avellanes i Santa Linya, les;renda mitjana per persona (€);;11045
2015;Avià;població ocupada (%);;70,0
2015;Avià;treballadors de baixa qualificació (%);;12,2
2015;Avià;població amb estudis baixos (%);..;null
2015;Avià;població jove sense estudis postobligatoris (%);..;null
2015;Avià;estrangers de països de renda baixa o mitjana (%);;3,6
2015;Avià;renda mitjana per persona (€);;12030
2015;Avinyó;població ocupada (%);;69,5
2015;Avinyó;treballadors de baixa qualificació (%);;19,2
2015;Avinyó;població amb estudis baixos (%);..;null
2015;Avinyó;població jove sense estudis postobligatoris (%);..;null
2015;Avinyó;estrangers de països de renda baixa o mitjana (%);;6,5
2015;Avinyó;renda mitjana per persona (€);;12093
2015;Avinyonet de Puigventós;població ocupada (%);;69,0
2015;Avinyonet de Puigventós;treballadors de baixa qualificació (%);;12,2
2015;Avinyonet de Puigventós;població amb estudis baixos (%);..;null
2015;Avinyonet de Puigventós;població jove sense estudis postobligatoris (%);..;null
2015;Avinyonet de Puigventós;estrangers de països de renda baixa o mitjana (%);;2,3
2015;Avinyonet de Puigventós;renda mitjana per persona (€);;11680
2015;Avinyonet del Penedès;població ocupada (%);;66,1
2015;Avinyonet del Penedès;treballadors de baixa qualificació (%);;12,4
2015;Avinyonet del Penedès;població amb estudis baixos (%);..;null
2015;Avinyonet del Penedès;població jove sense estudis postobligatoris (%);..;null
2015;Avinyonet del Penedès;estrangers de països de renda baixa o mitjana (%);;6,4
2015;Avinyonet del Penedès;renda mitjana per persona (€);;12004
2015;Badalona;població ocupada (%);;58,2
2015;Badalona;treballadors de baixa qualificació (%);;15,0
2015;Badalona;població amb estudis baixos (%);..;null
2015;Badalona;població jove sense estudis postobligatoris (%);..;null
2015;Badalona;estrangers de països de renda baixa o mitjana (%);;11,3
2015;Badalona;renda mitjana per persona (€);;10876
2015;Badia del Vallès;població ocupada (%);;51,9
2015;Badia del Vallès;treballadors de baixa qualificació (%);;22,0
2015;Badia del Vallès;població amb estudis baixos (%);..;null
2015;Badia del Vallès;població jove sense estudis postobligatoris (%);..;null
2015;Badia del Vallès;estrangers de països de renda baixa o mitjana (%);;5,0
2015;Badia del Vallès;renda mitjana per persona (€);;9270
2015;Bagà;població ocupada (%);;58,0
2015;Bagà;treballadors de baixa qualificació (%);;12,5
2015;Bagà;població amb estudis baixos (%);..;null
2015;Bagà;població jove sense estudis postobligatoris (%);..;null
2015;Bagà;estrangers de països de renda baixa o mitjana (%);;2,0
2015;Bagà;renda mitjana per persona (€);;13605
2015;Baix Pallars;població ocupada (%);;60,5
2015;Baix Pallars;treballadors de baixa qualificació (%);..;null
2015;Baix Pallars;població amb estudis baixos (%);..;null
2015;Baix Pallars;població jove sense estudis postobligatoris (%);..;null
2015;Baix Pallars;estrangers de països de renda baixa o mitjana (%);;2,3
2015;Baix Pallars;renda mitjana per persona (€);;13898
2015;Balaguer;població ocupada (%);;55,5
2015;Balaguer;treballadors de baixa qualificació (%);;19,5
2015;Balaguer;població amb estudis baixos (%);..;null
2015;Balaguer;població jove sense estudis postobligatoris (%);..;null
